Time,aSyn,aSyn,aSyn,aSyn-DMSO,aSyn-DMSO,aSyn-DMSO,aSyn_D2_13uM,aSyn_D2_13uM,aSyn_D2_13uM,aSyn_D3_0.67mM,aSyn_D3_0.67mM,aSyn_D3_0.67mM
21.876970,9391.667000,9189.667000,8811.667000,8622.000000,9269.000000,9906.000000,7599.000000,8796.000000,9401.000000,4524.667000,3746.667000,5364.667000
22.140530,9351.000000,9287.000000,8915.000000,8673.000000,9531.000000,9869.000000,7757.333000,8889.333000,9518.333000,4449.000000,3783.000000,5362.000000
22.404110,9432.333000,9278.333000,8814.333000,8635.667000,9450.667000,9918.667000,7803.667000,8932.667000,9553.667000,4606.667000,3685.667000,5367.667000
22.667690,9241.667000,9254.667000,8831.667000,9057.667000,9475.667000,10060.670000,7835.667000,8927.667000,9500.667000,4644.667000,3915.667000,5423.667000
22.931280,9137.667000,9064.667000,8815.667000,8754.333000,9280.333000,9904.333000,7666.000000,8852.000000,9409.000000,4496.000000,3757.000000,5347.000000
23.194830,9140.333000,9028.333000,8641.333000,8756.333000,9282.333000,9809.333000,7610.333000,8746.333000,9390.333000,4500.333000,3724.333000,5300.333000
23.458420,9170.667000,9127.667000,8962.667000,8576.333000,9313.333000,9906.333000,7518.667000,8827.667000,9492.667000,4556.333000,3829.333000,5380.333000
23.722000,9317.000000,9203.000000,8834.000000,8809.667000,9434.667000,10077.670000,7770.000000,8895.000000,9488.000000,4580.667000,3963.667000,5460.667000
23.985580,9461.333000,9366.333000,9155.333000,8843.667000,9490.667000,10329.670000,7809.000000,9039.000000,9585.000000,4601.333000,4016.333000,5312.333000
24.249140,9544.333000,9355.333000,9249.333000,8751.000000,9620.000000,10289.000000,7819.667000,9057.667000,9731.667000,4697.000000,4022.000000,5440.000000
24.512720,9359.000000,9290.000000,9257.000000,8845.667000,9563.667000,10382.670000,7904.333000,9008.333000,9760.333000,4665.333000,3993.333000,5435.333000
24.776310,9324.333000,9290.333000,9172.333000,9026.667000,9647.667000,10427.670000,7939.667000,9051.667000,9798.667000,4796.000000,4111.000000,5446.000000
25.039890,9239.667000,9227.667000,9104.667000,8701.000000,9461.000000,10459.000000,7828.333000,9069.333000,9673.333000,4702.000000,3976.000000,5480.000000
25.303440,9310.333000,9241.333000,9168.333000,8916.333000,9357.333000,10372.330000,7824.000000,8898.000000,9662.000000,4663.000000,3911.000000,5494.000000
25.567030,9266.333000,9359.333000,9120.333000,8825.000000,9554.000000,10501.000000,7851.000000,9061.000000,9646.000000,4734.667000,3962.667000,5477.667000
25.830610,9531.333000,9426.333000,9019.333000,9109.667000,9679.667000,10626.670000,7901.667000,9148.667000,9850.667000,4974.667000,4071.667000,5739.667000
26.094190,9709.667000,9581.667000,9500.667000,9268.667000,9730.667000,10767.670000,7943.667000,9128.667000,9936.667000,4985.667000,4071.667000,6001.667000
