frame,phenotype,cell,sample,intesnsity
7,WT,cPRC,33,1.053460493
7,WT,cPRC,34,1.175116608
7,WT,cPRC,35,1.030662373
7,WT,cPRC,36,1.00158313
7,WT,cPRC,37,1.010789096
7,WT,INNOS,38,0.997907315
7,WT,INNOS,39,1.068435
7,WT,INNOS,40,0.971071717
7,WT,INNOS,41,0.718720899
7,WT,INNOS,42,0.979897291
7,WT,INNOS,43,1.051755289
7,WT,INNOS,44,0.919317205
7,WT,INNOS,45,0.933044057
7,WT,INNOS,46,0.998707308
7,WT,INNOS,47,0.961038716
7,WT,INNOS,48,1.022141951
7,WT,INNOS,49,1.056834487
7,WT,INNOS,50,0.714340344
7,WT,INNOS,51,0.941274026
7,WT,INNOS,52,1.078250947
7,WT,INNOS,53,1.07229412
7,WT,INNOS,54,0.946627005
7,WT,INNOS,55,1.056378934
7,WT,INNOS,56,1.45711501
7,WT,INNOS,57,1.182182541
7,WT,INNOS,58,0.838679084
7,WT,INNOS,59,1.178022222
7,WT,INNOS,60,1.066254275
7,WT,INNOS,61,1.035267059
7,WT,INNOS,62,1.16029015
7,WT,INNOS,63,0.932277628
7,WT,INNOS,64,1.086751454
7,NOS11,cPRC,65,0.807541881
7,NOS11,cPRC,66,0.822383437
7,NOS11,cPRC,67,1.08406878
7,NOS11,cPRC,68,1.113046928
7,NOS11,cPRC,69,1.019286403
7,NOS11,cPRC,70,0.752161332
7,NOS11,cPRC,71,1.158994489
7,NOS11,cPRC,72,1.173240334
7,NOS11,cPRC,73,1.149209644
7,NOS11,cPRC,74,1.039620903
7,NOS11,cPRC,75,1.050603159
7,NOS11,cPRC,76,1.087729577
7,NOS11,cPRC,77,1.011775508
7,NOS11,cPRC,78,1.04739691
7,NOS11,cPRC,79,1.027271812
7,NOS11,cPRC,80,1.090128607
7,NOS11,cPRC,81,1.023894988
7,NOS11,cPRC,82,1.112546529
7,NOS11,INNOS,83,0.923851866
7,NOS11,INNOS,84,0.819413488
7,NOS11,INNOS,85,0.778090496
7,NOS11,INNOS,86,0.825010052
7,NOS11,INNOS,87,0.698415221
7,NOS11,INNOS,88,0.970701715
7,NOS11,INNOS,89,0.877112205
7,NOS11,INNOS,90,0.906004198
7,NOS11,INNOS,91,1.045405056
7,NOS11,INNOS,92,1.043712071
7,NOS11,INNOS,93,0.913781216
7,NOS11,INNOS,94,1.04501995
7,NOS11,INNOS,95,1.065850423
7,NOS11,INNOS,96,0.91216121
7,NOS11,INNOS,97,0.935804373
7,NOS11,INNOS,98,1.024048026
7,NOS11,INNOS,99,0.974572528
7,NOS11,INNOS,100,1.054888261
7,NOS11,INNOS,101,1.087616493
7,NOS11,INNOS,102,0.984342891
