Time::Relative Time!!R,Channel1_R2_Area::TV1-SR_R2_Area!!R,Channel1_R2_IntensityMean::TV1-SR_R2_IntensityMean!!R,Channel1_R3_Area::TV1-SR_R3_Area!!R,Channel1_R3_IntensityMean::TV1-SR_R3_IntensityMean!!R,Channel1_R4_Area::TV1-SR_R4_Area!!R,Channel1_R4_IntensityMean::TV1-SR_R4_IntensityMean!!R,Channel1_R5_Area::TV1-SR_R5_Area!!R,Channel1_R5_IntensityMean::TV1-SR_R5_IntensityMean!!R,Channel1_R6_Area::TV1-SR_R6_Area!!R,Channel1_R6_IntensityMean::TV1-SR_R6_IntensityMean!!R,Channel1_R7_Area::TV1-SR_R7_Area!!R,Channel1_R7_IntensityMean::TV1-SR_R7_IntensityMean!!R,Channel1_R8_Area::TV1-SR_R8_Area!!R,Channel1_R8_IntensityMean::TV1-SR_R8_IntensityMean!!R,Channel1_R10_Area::TV1-SR_R10_Area!!R,Channel1_R10_IntensityMean::TV1-SR_R10_IntensityMean!!R,Channel1_R11_Area::TV1-SR_R11_Area!!R,Channel1_R11_IntensityMean::TV1-SR_R11_IntensityMean!!R
2.538276111,37920297.67,414.9396078,14231264.66,1133.521421,36433227.18,202.3477551,26410372.03,725.5551802,53980659.04,1007.299449,20298512.28,398.1201465,47378066.04,299.3794727,12446780.06,209.1182796,26559079.08,174.1567749
2.588271667,37920297.67,441.5921569,14231264.66,1116.757576,36433227.18,195.4889796,26410372.03,840.7623874,53980659.04,937.6647383,20298512.28,332.9699634,47378066.04,647.5119272,12446780.06,172.5555556,26559079.08,148.2206047
2.638272222,37920297.67,432.2392157,14231264.66,1011.911181,36433227.18,157.3526531,26410372.03,856.9177928,53980659.04,921.8534435,20298512.28,344.0717949,47378066.04,627.0367232,12446780.06,203.4504182,26559079.08,169.7519597
2.688272222,37920297.67,405.4039216,14231264.66,1160.609195,36433227.18,178.4832653,26410372.03,787.0123874,53980659.04,945.1975207,20298512.28,302.2168498,47378066.04,646.715317,12446780.06,169.4038232,26559079.08,157.5134378
2.738271944,37920297.67,502.8070588,14231264.66,923.3187043,36433227.18,160.1089796,26410372.03,796.1030405,53980659.04,919.1760331,20298512.28,375.996337,47378066.04,646.1355932,12446780.06,250.9749104,26559079.08,196.0755879
2.7882725,37920297.67,470.1596078,14231264.66,1073.316614,36433227.18,249.3502041,26410372.03,788.4290541,53980659.04,898.3493113,20298512.28,322.5230769,47378066.04,607.710295,12446780.06,214.6714456,26559079.08,183.1343785
2.8382725,37920297.67,473.6141176,14231264.66,961.1943574,36433227.18,163.0383673,26410372.03,814.5078829,53980659.04,996.1493113,20298512.28,338.778022,47378066.04,659.3135593,12446780.06,245.8518519,26559079.08,194.8415454
2.888272222,37920297.67,484.1792157,14231264.66,890.1452456,36433227.18,153.4244898,26410372.03,795.4222973,53980659.04,942.7347107,20298512.28,392.2542125,47378066.04,718.5433145,12446780.06,255.7108722,26559079.08,210.006159
2.938273056,37920297.67,385.4992157,14231264.66,1107.646813,36433227.18,190.2844898,26410372.03,792.1413288,53980659.04,962.0140496,20298512.28,303.8373626,47378066.04,706.7328939,12446780.06,192.8590203,26559079.08,180.3756999
2.988272778,37920297.67,435.9501961,14231264.66,1090.122257,36433227.18,221.1938776,26410372.03,805.3873874,53980659.04,969.5101928,20298512.28,277.83663,47378066.04,712.9243566,12446780.06,150.5591398,26559079.08,167.6590146
3.0382725,37920297.67,481.3078431,14231264.66,1072.144201,36433227.18,183.835102,26410372.03,847.2781532,53980659.04,957.9374656,20298512.28,258.3062271,47378066.04,651.3976773,12446780.06,176.1027479,26559079.08,183.1170213
3.0882725,37920297.67,482.7278431,14231264.66,1007.548589,36433227.18,161.8861224,26410372.03,808.6143018,53980659.04,945.2231405,20298512.28,293.3772894,47378066.04,335.477715,12446780.06,184.2676225,26559079.08,206.4792833
3.138273056,37920297.67,486.2341176,14231264.66,901.7241379,36433227.18,150.1771429,26410372.03,774.2134009,53980659.04,898.0969697,20298512.28,390.8271062,47378066.04,330.0822348,12446780.06,208.6284349,26559079.08,215.7648376
3.188273056,37920297.67,470.3760784,14231264.66,1307.382445,36433227.18,174.5730612,26410372.03,816.4814189,53980659.04,945.9482094,20298512.28,336.8622711,47378066.04,286.9607659,12446780.06,143.5746714,26559079.08,196.6192609
3.238272778,37920297.67,397.905098,14231264.66,1138.053292,36433227.18,309.7514286,26410372.03,768.4707207,53980659.04,936.7884298,20298512.28,320.9919414,47378066.04,281.8775895,12446780.06,172.0776583,26559079.08,200.6466965
3.288273333,37920297.67,462.927451,14231264.66,1238.564263,36433227.18,171.5844898,26410372.03,817.1711712,53980659.04,925.4796143,20298512.28,351.5934066,47378066.04,255.8531073,12446780.06,194.7502987,26559079.08,210.3930571
3.338273333,37920297.67,443.0290196,14231264.66,1074.439916,36433227.18,168.2461224,26410372.03,817.8429054,53980659.04,910.5280992,20298512.28,341.4043956,47378066.04,208.0903955,12446780.06,171.79092,26559079.08,199.3964166
3.388273056,37920297.67,466.6501961,14231264.66,1008.092999,36433227.18,160.5028571,26410372.03,722.2207207,53980659.04,884.5242424,20298512.28,473.8358974,47378066.04,117.2084118,12446780.06,250.5436081,26559079.08,271.3594625
3.438273056,37920297.67,469.14,14231264.66,974.6739812,36433227.18,172.1595918,26410372.03,851.0636261,53980659.04,884.2977961,20298512.28,339.6593407,47378066.04,157.8505964,12446780.06,176.9438471,26559079.08,198.2586786
3.488273056,37920297.67,52.49686275,14231264.66,1094.15465,36433227.18,176.0191837,26410372.03,682.4375,53980659.04,860.6013774,20298512.28,450.192674,47378066.04,133.3126177,12446780.06,208.0669056,26559079.08,227.3863382
3.538272778,37920297.67,47.32588235,14231264.66,1157.260188,36433227.18,172.6110204,26410372.03,626.6413288,53980659.04,825.9126722,20298512.28,390.5194139,47378066.04,120.6214689,12446780.06,208.2735962,26559079.08,226.6948488
3.588272778,37920297.67,41.26941176,14231264.66,1132.145246,36433227.18,215.5477551,26410372.03,664.9087838,53980659.04,765.4674931,20298512.28,311.8835165,47378066.04,106.7316384,12446780.06,171.5782557,26559079.08,213.87514
3.638273333,37920297.67,48.92431373,14231264.66,1114.83908,36433227.18,185.4436735,26410372.03,739.5990991,53980659.04,785.6917355,20298512.28,300.8322344,47378066.04,132.9971751,12446780.06,179.7694146,26559079.08,217.6629339
3.688273056,37920297.67,48.16705882,14231264.66,1034.92581,36433227.18,178.5293878,26410372.03,657.4504505,53980659.04,856.0719008,20298512.28,340.0842491,47378066.04,133.6607031,12446780.06,192.1529271,26559079.08,197.6674132
3.738273056,37920297.67,51.92745098,14231264.66,1016.449321,36433227.18,172.5718367,26410372.03,643.4031532,53980659.04,810.2842975,20298512.28,359.0498168,47378066.04,136.0169492,12446780.06,177.8829152,26559079.08,211.349944
3.788273611,37920297.67,60.30392157,14231264.66,1003.456635,36433227.18,159.44,26410372.03,612.2415541,53980659.04,808.862259,20298512.28,341.1919414,47378066.04,129.462963,12446780.06,203.5448029,26559079.08,229.3297872
3.838269722,37920297.67,46.10627451,14231264.66,1014.448276,36433227.18,189.7542857,26410372.03,604.0827703,53980659.04,767.5991736,20298512.28,325.9355311,47378066.04,117.3185813,12446780.06,191.4444444,26559079.08,208.556551
